都道府県名,西暦（年）,人口（総数）
北海道,1920.0,2359183
青森県,1920.0,756454
岩手県,1920.0,845540
宮城県,1920.0,961768
秋田県,1920.0,898537
山形県,1920.0,968925
福島県,1920.0,1362750
茨城県,1920.0,1350400
栃木県,1920.0,1046479
群馬県,1920.0,1052610
埼玉県,1920.0,1319533
千葉県,1920.0,1336155
東京都,1920.0,3699428
神奈川県,1920.0,1323390
新潟県,1920.0,1776474
富山県,1920.0,724276
石川県,1920.0,747360
福井県,1920.0,599155
山梨県,1920.0,583453
長野県,1920.0,1562722
岐阜県,1920.0,1070407
静岡県,1920.0,1550387
愛知県,1920.0,2089762
三重県,1920.0,1069270
滋賀県,1920.0,651050
京都府,1920.0,1287147
大阪府,1920.0,2587847
兵庫県,1920.0,2301799
奈良県,1920.0,564607
和歌山県,1920.0,750411
鳥取県,1920.0,454675
島根県,1920.0,714712
岡山県,1920.0,1217698
広島県,1920.0,1541905
山口県,1920.0,1041013
徳島県,1920.0,670212
香川県,1920.0,677852
愛媛県,1920.0,1046720
高知県,1920.0,670895
福岡県,1920.0,2188249
佐賀県,1920.0,673895
長崎県,1920.0,1136182
熊本県,1920.0,1233233
大分県,1920.0,860282
宮崎県,1920.0,651097
鹿児島県,1920.0,1415582
沖縄県,1920.0,571572
北海道,1925.0,2498679
青森県,1925.0,812977
岩手県,1925.0,900984
宮城県,1925.0,1044036
秋田県,1925.0,936408
山形県,1925.0,1027297
福島県,1925.0,1437596
茨城県,1925.0,1409092
栃木県,1925.0,1090428
群馬県,1925.0,1118858
埼玉県,1925.0,1394461
千葉県,1925.0,1399257
東京都,1925.0,4485144
神奈川県,1925.0,1416792
新潟県,1925.0,1849807
富山県,1925.0,749243
石川県,1925.0,750854
福井県,1925.0,597899
山梨県,1925.0,600675
長野県,1925.0,1629217
岐阜県,1925.0,1132557
静岡県,1925.0,1671217
愛知県,1925.0,2319494
三重県,1925.0,1107692
滋賀県,1925.0,662412
京都府,1925.0,1406382
大阪府,1925.0,3059502
兵庫県,1925.0,2454679
奈良県,1925.0,583828
和歌山県,1925.0,787511
鳥取県,1925.0,472230
島根県,1925.0,722402
岡山県,1925.0,1238447
広島県,1925.0,1617680
山口県,1925.0,1094544
徳島県,1925.0,689814
香川県,1925.0,700308
愛媛県,1925.0,1096366
高知県,1925.0,687478
福岡県,1925.0,2301668
佐賀県,1925.0,684831
長崎県,1925.0,1163945
熊本県,1925.0,1296086
大分県,1925.0,915136
宮崎県,1925.0,691094
鹿児島県,1925.0,1472193
沖縄県,1925.0,557622
北海道,1930.0,2812335
青森県,1930.0,879914
岩手県,1930.0,975771
宮城県,1930.0,1142784
秋田県,1930.0,987706
山形県,1930.0,1080034
福島県,1930.0,1508150
茨城県,1930.0,1487097
栃木県,1930.0,1141737
群馬県,1930.0,1186080
埼玉県,1930.0,1459172
千葉県,1930.0,1470121
東京都,1930.0,5408678
神奈川県,1930.0,1619606
新潟県,1930.0,1933326
富山県,1930.0,778953
石川県,1930.0,756835
福井県,1930.0,618144
山梨県,1930.0,631042
長野県,1930.0,1717118
岐阜県,1930.0,1178405
静岡県,1930.0,1797805
愛知県,1930.0,2567413
三重県,1930.0,1157407
滋賀県,1930.0,691631
京都府,1930.0,1552832
大阪府,1930.0,3540017
兵庫県,1930.0,2646301
奈良県,1930.0,596225
和歌山県,1930.0,830748
鳥取県,1930.0,489266
島根県,1930.0,739507
岡山県,1930.0,1283962
広島県,1930.0,1692136
山口県,1930.0,1135637
徳島県,1930.0,716544
香川県,1930.0,732816
愛媛県,1930.0,1142122
高知県,1930.0,718152
福岡県,1930.0,2527119
佐賀県,1930.0,691565
長崎県,1930.0,1233362
熊本県,1930.0,1353993
大分県,1930.0,945771
宮崎県,1930.0,760467
鹿児島県,1930.0,1556690
沖縄県,1930.0,577509
北海道,1935.0,3068282
青森県,1935.0,967129
岩手県,1935.0,1046111
宮城県,1935.0,1234801
秋田県,1935.0,1037744
山形県,1935.0,1116822
福島県,1935.0,1581563
茨城県,1935.0,1548991
栃木県,1935.0,1195057
群馬県,1935.0,1242453
埼玉県,1935.0,1528854
千葉県,1935.0,1546394
東京都,1935.0,6369919
神奈川県,1935.0,1840005
新潟県,1935.0,1995777
富山県,1935.0,798890
石川県,1935.0,768416
福井県,1935.0,646659
山梨県,1935.0,646727
長野県,1935.0,1714000
岐阜県,1935.0,1225799
静岡県,1935.0,1939860
愛知県,1935.0,2862701
三重県,1935.0,1174595
滋賀県,1935.0,711436
京都府,1935.0,1702508
大阪府,1935.0,4297174
兵庫県,1935.0,2923249
奈良県,1935.0,620471
和歌山県,1935.0,864087
鳥取県,1935.0,490461
島根県,1935.0,747119
岡山県,1935.0,1332647
広島県,1935.0,1804916
山口県,1935.0,1190542
徳島県,1935.0,728748
香川県,1935.0,748656
愛媛県,1935.0,1164898
高知県,1935.0,714980
福岡県,1935.0,2755804
佐賀県,1935.0,686117
長崎県,1935.0,1296883
熊本県,1935.0,1387054
大分県,1935.0,980458
宮崎県,1935.0,824431
鹿児島県,1935.0,1591466
沖縄県,1935.0,592494
北海道,1940.0,3272718
青森県,1940.0,1000509
岩手県,1940.0,1095793
宮城県,1940.0,1271238
秋田県,1940.0,1052275
山形県,1940.0,1119338
福島県,1940.0,1625521
茨城県,1940.0,1620000
栃木県,1940.0,1206657
群馬県,1940.0,1299027
埼玉県,1940.0,1608039
千葉県,1940.0,1588425
東京都,1940.0,7354971
神奈川県,1940.0,2188974
新潟県,1940.0,2064402
富山県,1940.0,822569
石川県,1940.0,757676
福井県,1940.0,643904
山梨県,1940.0,663026
長野県,1940.0,1710729
岐阜県,1940.0,1265024
静岡県,1940.0,2017860
愛知県,1940.0,3166592
三重県,1940.0,1198783
滋賀県,1940.0,703679
京都府,1940.0,1729993
大阪府,1940.0,4792966
兵庫県,1940.0,3221232
奈良県,1940.0,620509
和歌山県,1940.0,865074
鳥取県,1940.0,484390
島根県,1940.0,740940
岡山県,1940.0,1329358
広島県,1940.0,1869504
山口県,1940.0,1294242
徳島県,1940.0,718717
香川県,1940.0,730394
愛媛県,1940.0,1178705
高知県,1940.0,709286
